Dataset,Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
kept_v4_stemmed,PassiveAggressive,0.7910626618405547,0.7678758599037795,0.7289597804647971,0.7478562845319902,0.8635650588356882
kept_v5_lemma_stem,PassiveAggressive,0.7900549640511116,0.7666172231111107,0.7277732301143672,0.7466257057882186,0.8633620498737654
dropped_v9_minimal_processing,PassiveAggressive,0.7982482789138222,0.8046099558974417,0.6934212187194296,0.7445732786875195,0.8528422909124663
prepended_v4_stemmed,PassiveAggressive,0.790138984461945,0.770161111441977,0.7207512179789408,0.744458496073746,0.8580904168520991
kept_v9_minimal_processing,PassiveAggressive,0.7934453781512605,0.785176273228229,0.7077846045474113,0.7444145963728686,0.8593481973855437
prepended_v5_lemma_stem,PassiveAggressive,0.7891294498106945,0.7684665491616359,0.7203551783749804,0.743430002618165,0.8576583592938734
kept_v3_lemmatized,PassiveAggressive,0.7885430645809961,0.7685464556119014,0.7202602302936751,0.7434144755718364,0.8614233142874017
kept_v8_keep_hashtags,PassiveAggressive,0.7885430645809961,0.7685464556119014,0.7202602302936751,0.7434144755718364,0.8614233142874017
dropped_v7_lowercase_words_only,PassiveAggressive,0.7921587617130089,0.7812738269650343,0.7088456702813138,0.7430419607373462,0.859527518172378
prepended_v10_lemma_stem_custom_stopwords,PassiveAggressive,0.7872785890868312,0.7625656625864515,0.7243226465503694,0.7428200847934645,0.8557873460910843
dropped_v1_basic_clean,PassiveAggressive,0.7916556934639357,0.7802076008204972,0.708845670281314,0.7426060269326777,0.8592419522326065
prepended_v3_lemmatized,PassiveAggressive,0.7866041972854421,0.7654191694443839,0.717975011786893,0.7404879718306561,0.8576806111852839
prepended_v8_keep_hashtags,PassiveAggressive,0.7866041972854421,0.7654191694443839,0.717975011786893,0.7404879718306561,0.8576806111852839
dropped_v3_lemmatized,PassiveAggressive,0.7926649449357608,0.7919584091976919,0.6957614332861859,0.7402383467162825,0.8612205162438806
dropped_v8_keep_hashtags,PassiveAggressive,0.7926649449357608,0.7919584091976919,0.6957614332861859,0.7402383467162825,0.8612205162438806
kept_v1_basic_clean,PassiveAggressive,0.7952613791108383,0.8044491161741245,0.6854971115840682,0.740129108325857,0.8621301545820969
kept_v7_lowercase_words_only,PassiveAggressive,0.7885436290385172,0.7759419010750493,0.7072292256238744,0.7399114243653472,0.8582526834093693
dropped_v4_stemmed,PassiveAggressive,0.789298507927608,0.7813763155369202,0.6993312902718845,0.7379278619144287,0.8622385402759235
dropped_v2_no_emojis_mentions,PassiveAggressive,0.7938419802170853,0.8034023140993709,0.6810773220179162,0.7369027320864432,0.8607828957128023
kept_v2_no_emojis_mentions,PassiveAggressive,0.790895017956805,0.7948833614536387,0.6866774251389636,0.7362931553769866,0.8596073068462005
prepended_v7_lowercase_words_only,PassiveAggressive,0.7909798857654198,0.7930086829866856,0.6874273141599874,0.7361184605229556,0.859494140335262
prepended_v1_basic_clean,PassiveAggressive,0.7892976583893321,0.7859858072711552,0.6925860443187176,0.7359538336626084,0.858893339267171
dropped_v5_lemma_stem,PassiveAggressive,0.788288831686645,0.7821500507230527,0.694969354078265,0.7357498389417663,0.8620048954161105
prepended_v2_no_emojis_mentions,PassiveAggressive,0.7899703511141694,0.790084420814205,0.6882209649536383,0.7354367411446475,0.8594088414181872
prepended_v6_custom_stopwords,PassiveAggressive,0.784248852415379,0.7680527084641044,0.7052891717743204,0.734917192896939,0.8557623127132472
dropped_v10_lemma_stem_custom_stopwords,PassiveAggressive,0.7862696207944315,0.7778107122202291,0.6953653936822255,0.7339494864555213,0.8589137368342976
prepended_v9_minimal_processing,PassiveAggressive,0.7876154310132443,0.7934759819496402,0.6759201634449159,0.7294933546633185,0.8558930425752855
dropped_v6_custom_stopwords,PassiveAggressive,0.7864976640882286,0.8041763004858679,0.6571428571428571,0.7228456198407505,0.8521674556762276
kept_v6_custom_stopwords,PassiveAggressive,0.7266191111205187,0.8716932826960233,0.4750988142292489,0.5302853792276383,0.8631061592897462
kept_v10_lemma_stem_custom_stopwords,PassiveAggressive,0.6882921632128921,0.8947877783080879,0.3612141481706699,0.4293461306371987,0.8627954703163987
